the_geom,si_si_s,field_1,pol_stn,totarea,nm_pol,murder,rape,gangrap,robbery,theft,asltmds,sxlhrsm,distrct,inspsnc,insp__m,in__w_f,cartodb_id,si_si_m,si_si_f,ai_si_s,ai_si_m,ai_si_f,hc_snc,hc_wrkm,hc_wrkf,cnst_sn,cnst_wm,cnst_wf,tl_shrt,totcrm,tsnc,twrk,long,lat
0101000020E61000001DF98381E7485340DA85E63A8DCC3C40,4,109,POLICE STATION-ALIPUR,51545474.9152,ALIPUR,6,15,1,52,320,22,18,North East,3,3,0,110,9,1,10,8,0,38,32,0,89,89,11,10,434,162,153,77.13913,28.79903
0101000020E610000011AAD4EC814A53408BC3995FCDB93C40,21,111,POLICE STATION-MAHINDRA PARK,2463668.04593,MAHENDRA PARK,0,15,2,37,832,28,4,South,3,1,0,112,7,1,6,8,1,55,29,3,125,125,13,40,918,214,188,77.16418,28.72579
0101000020E6100000FD4D2844C0495340EFF96184F0883C40,17,112,POLICE STATION-VASANT KUNJ SOUTH,14105371.6017,VASANT KUNJ SOUTH,0,1,0,1,65,1,3,New Delhi,3,2,0,113,10,1,6,13,0,60,25,0,144,144,10,80,71,233,205,77.15236,28.53492
0101000020E6100000E6E8F17B9B4A5340AD81AD122CBE3C40,15,113,POLICE STATION-BHALSWA DAIRY,4498522.05,BHALSWA DAIRY,2,13,1,28,338,23,12,North West,3,2,0,114,6,2,6,5,0,48,23,0,114,114,10,66,417,198,162,77.16574,28.74286
0101000020E61000006631B1F9B8425340B1F4A10BEACB3C40,5,116,POLICE STATION-BAWANA,40327922.924,BAWANA,6,20,3,93,383,13,8,North East,3,2,0,117,9,1,11,9,2,41,34,1,68,68,12,32,526,136,138,77.04254,28.79654
0101000020E6100000A0100187504353406F47382D78B93C40,14,117,POLICE STATION-BEGUM PUR,35490190.8971,BEGUM PUR,0,4,0,73,413,5,4,North East,3,3,0,118,10,2,6,7,0,53,29,2,125,125,16,39,499,205,194,77.05179,28.72449
0101000020E6100000AD174339D1485340C30DF8FC30A23C40,10,119,POLICE STATION-NARAINA,14937293.4916,NARAINA,2,11,0,28,425,18,12,West,3,1,0,120,5,1,7,6,1,43,19,0,118,118,8,72,496,193,159,77.13777,28.63356
0101000020E6100000F60B76C3B64D534048FE60E0B97F3C40,9,121,POLICE STATION-NEB SARAI,8344724.01914,NEB SARAI,3,20,2,35,626,19,13,West,3,3,0,122,10,1,3,4,0,6,19,0,141,141,14,43,718,175,192,77.21428,28.49893
0101000020E6100000B6847CD0B34B5340265305A392A23C40,8,122,POLICE STATION-RAJENDER NAGAR,3013302.5278,RAJINDER NAGAR,1,21,1,31,474,32,11,East,3,3,0,123,6,2,8,6,0,52,21,0,111,111,10,39,571,193,159,77.18285,28.63505
0101000020E61000000B630B410E4A53401E7233DC80B73C40,8,123,POLICE STATION-SHALIMAR BAGH,1281611.55962,SHALIMAR BAGH,8,9,0,45,335,13,23,Outer,3,3,0,124,7,2,16,10,0,50,28,2,113,113,13,38,433,213,178,77.15712,28.71681
0101000020E61000007138F3AB394A53402CF180B229AF3C40,7,126,POLICE STATION-KESHAV PURAM,1352844.68462,KESHAV PURAM,1,43,0,21,336,47,10,South West,3,3,0,127,7,1,10,7,0,38,25,1,101,101,12,20,458,169,157,77.15977,28.68423
0101000020E6100000A1DB4B1AA347534033D769A4A5B23C40,23,132,POLICE STATION-RANI BAGH,2974723.88751,RANI BAGH,2,25,1,56,496,27,10,East,3,3,0,133,7,1,6,10,1,57,31,3,129,129,13,58,617,228,198,77.11933,28.69784
0101000020E61000008CA19C68574D5340DF15C1FF56AA3C40,5,134,POLICE STATION-BARA HINDU RAO,1749323.88109,BARA HINDU RAO,6,20,2,35,284,10,10,North East,3,3,0,135,4,1,11,6,0,21,22,3,70,70,5,8,367,120,114,77.20846,28.66539
0101000020E61000003DB83B6BB74D5340E17A14AE47A13C40,17,135,POLICE STATION-CONNAUGHT PLACE,5266891.99585,CONNAUGHT PLACE,1,11,0,55,800,36,6,North West,3,3,0,136,12,2,11,10,1,55,32,0,147,147,12,60,909,239,219,77.21432,28.63
0101000020E6100000842A357BA04F5340F2CD3637A6973C40,8,137,POLICE STATION-HAZRAT NIZAMUDDIN,10316304.0447,H. N. DIN,1,8,1,15,214,14,4,South East,3,2,0,138,8,1,16,7,0,51,34,0,54,54,9,9,257,136,115,77.24417,28.59238
0101000020E6100000DEB06D51664F53406A4DF38E53A43C40,11,138,POLICE STATION-DARYAGANJ,5570696.13208,DARYA GANJ,4,5,0,19,180,8,6,North West,3,3,0,139,6,2,7,13,0,80,25,0,146,146,11,85,222,253,206,77.24062,28.6419
0101000020E610000047551344DD455340DF15C1FF56B23C40,7,139,POLICE STATION-MANGOLPURI,2980192.32158,MANGOLPURI,8,15,1,9,116,27,10,South,3,4,0,140,8,4,9,9,1,52,34,4,106,106,15,15,186,187,185,77.09163,28.69664
0101000020E61000002A137EA99F535340EC478AC8B0AA3C40,9,140,POLICE STATION-VIVEK VIHAR,4731868.99746,VIVEKVIHAR,0,1,0,6,120,1,3,New Delhi,3,2,0,141,11,1,6,3,1,49,19,1,142,142,19,79,131,212,199,77.30662,28.66676
0101000020E6100000B22E6EA3014E53401D3D7E6FD3A73C40,9,141,POLICE STATION-LAHORI GATE,2975208.71941,LAHORI GATE,9,12,2,10,244,20,5,South West,3,3,0,142,7,0,15,5,2,37,32,1,85,85,8,3,302,154,143,77.21885,28.65557
0101000020E610000084B1852007455340CD88D2DEE0B33C40,7,142,POLICE STATION-SULTANPURI,1975070.37271,SULTAN PURI,0,9,0,66,631,16,7,Outer,3,2,0,143,7,2,10,5,1,65,30,2,131,131,12,57,729,223,192,77.07856,28.70265
